"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BDUTT: What India owes our Muslim citizens after the Ayodhya Mandir Verdict. My take in @washingtonpost. Read, share and I think you wi…",FALSE,0,NA,2019-11-25 19:03:36,FALSE,NA,"1199040959792549888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsjapsidhu",285,TRUE,FALSE,NA,NA
"2","RT @Rameshkedia2: Bhakt- These two events are not related to each other.

We-then how modi related to ayodhya verdict

Bhakt- hahahaha 
#BJ…",FALSE,0,NA,2019-11-25 18:58:06,FALSE,NA,"1199039576590835712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RakeshK35974444",21,TRUE,FALSE,NA,NA
"3","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 18:56:45,FALSE,NA,"1199039234503565312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaiKehtaHun",200,TRUE,FALSE,NA,NA
"4","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 18:56:37,FALSE,NA,"1199039202999951360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Siri_resist",200,TRUE,FALSE,NA,NA
"5","Karan Thapar sketches a few glaring contradictions in the Ayodhya verdict : HT 24 Nov 19 https://t.co/TxGgr2zrC2",FALSE,1,NA,2019-11-25 18:52:23,FALSE,NA,"1199038136455553024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anisansariias",0,FALSE,FALSE,NA,NA
"6","RT @PawanKalyan: My heartfelt Congratulations! to 
‘India Ahead’ channel.Wishing you very best.

On most important day in Indian History -…",FALSE,0,NA,2019-11-25 18:51:19,FALSE,NA,"1199037867634225153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shashiacharya6",2745,TRUE,FALSE,NA,NA
"7","RT @narendramodi_in: #MannKiBaat: PM @narendramodi thanks people for 'spirit of unity' after Ayodhya verdict
https://t.co/NqafzdPnI9 

via…",FALSE,0,NA,2019-11-25 18:50:12,FALSE,NA,"1199037588050468867",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RameshDafdaBJYM",36,TRUE,FALSE,NA,NA
"8","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 18:47:06,FALSE,NA,"1199036805388980224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MohdAze62832186",200,TRUE,FALSE,NA,NA
"9","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 18:44:44,FALSE,NA,"1199036210389364737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shakeel28346604",200,TRUE,FALSE,NA,NA
"10","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 18:44:41,FALSE,NA,"1199036196988637196",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mamacita57Bo",200,TRUE,FALSE,NA,NA
